File,Mean Hue,SD Hue,Mean Sat,SD Sat,Mean Val,SD Val,Mean Hue SE,Mean Sat SE,Mean Val SE
Control Day 1.HEIC,14.291246374616213,3.9484897299466506,178.82810802169496,27.1350848014117,113.92541056190701,22.605118510273325,1.4923888399616316,10.256098027026264,8.543931705046585
Control Day 2.jpeg,15.254162205057975,3.746174732109263,172.03664949919138,22.361113214897436,123.0784538174321,20.759455964742532,1.4159209584221604,8.451706372168376,7.8463368336721695
Control Day 3.jpeg,16.244521348244525,3.391235732638966,189.38956303591178,24.976150230815463,126.55451398696816,16.90066390451844,1.2817666265369474,9.440097459789454,6.38785052617738
Control Day 4.jpeg,14.201402324375422,4.44600372660877,175.63806062438474,32.048647705538635,108.03036854720366,22.13492672197957,1.680431455524744,12.113250240682289,8.36621591357087
Control Day 5.jpeg,15.35778397959106,3.954930781113649,190.4440654529308,28.145663718719245,127.77803794552523,26.827903944131783,1.4948233284715917,10.638060954940645,10.139994576185938
Control Day 6.jpeg,15.757173637779285,3.1545084409150794,198.50665759245268,33.44159654594483,122.20028566584129,18.077062528205335,1.192292120473627,12.639735415075231,6.832487412027978
Control Day 7.jpeg,14.585516045598474,4.027949988614212,187.9248629639778,32.202877821017566,126.41546815608795,34.8239885989661,1.5224219947540936,12.171543745001435,13.16223049888756
Exp Day 1.heic,12.18142960413833,3.656568211688504,185.25383816345754,24.4315686528427,115.33164179553707,28.130178982276043,1.3820528771531377,9.234264970660446,10.632208274691203
Exp Day 2.jpeg,12.167241830681528,3.201892809513419,174.42299827314915,23.38283937184027,123.43271977390026,26.094587997550722,1.2102017283797732,8.837882560637016,9.862827200887164
Exp Day 3.jpeg,13.793646117519973,2.8757258368762835,185.89586972264826,24.28043573788334,123.54452055933912,21.424882595427285,1.0869222004539634,9.177142098103484,8.097844459465238
Exp Day 4.jpeg,13.402169173930831,3.773833909939819,173.75888822943674,29.6459435550652,109.37939239036061,23.298445074432568,1.426375144994755,11.205113432651515,8.80598451449233
Exp Day 5.jpeg,12.670839861559998,3.772193580234007,187.12076101659176,32.286014527386826,115.83615602276568,28.63688288164203,1.4257551586419366,12.202966466412015,10.82372434698679
Exp Day 6.jpeg,15.830204856761734,4.105530166433095,212.13447522359286,32.258923834346206,122.28040605490062,34.64659093251657,1.5517445457793695,12.192727146893462,13.095180483374895
Exp Day 7.jpeg,15.820029771045965,4.761002773085828,200.0645764407993,25.26259113871615,140.08871648403306,42.467430425215774,1.7994899041248542,9.548361946592422,16.051179960722703
